error_both,condition
0.0355840600589495,knee
0.0179909683922301,knee
0.00962348397773347,knee
0.0104361889293982,knee
0.0321465228838643,knee
0.0199143940173104,knee
0.0221925577677471,knee
0.0137563739439061,knee
0.0477166479758046,knee
0.0740241314279712,knee
0.0870315817031845,knee
0.024470022361799,knee
0.00979317908008332,knee
0.00750217632349832,knee
0.0142770027915232,knee
0.014396581454638,knee
0.0326111277338972,knee
0.0366197178899138,knee
0.0497367787700585,knee
0.0800957280298289,knee
0.0108765940362965,knee
0.0135779153651654,knee
0.0195417258047482,knee
0.00928079688555366,knee
0.0302813208523864,knee
0.0682569073211332,knee
0.0207412158975984,knee
0.0508301080418241,knee
0.0693704497240596,knee
0.053840941363754,knee
0.0498053651316973,knee
0.0657807621056804,knee
0.0964726949235058,knee
0.102287548693887,knee
0.0593686957988045,knee
0.0567164238356242,knee
0.039646787378804,knee
0.0395740686183884,knee
0.0589905498424443,knee
0.0754616954895671,knee
0.0712834976356043,knee
0.070478559969595,knee
0.0552039942157031,knee
0.067279796971928,knee
0.0787065098736172,knee
0.0812849855360454,knee
0.0574000669552054,knee
0.0432939709027278,knee
0.0686086689527964,knee
0.0522150637376838,knee
0.0735808224331297,knee
0.0761887354045005,knee
0.104991970833684,knee
0.109151531040783,knee
0.0649621871604609,knee
0.0440878411077002,knee
0.0753730219168653,knee
0.0832897567473144,knee
0.0586610604829085,knee
0.0974053454409749,knee
0.0990132197236585,knee
0.0745104180641524,knee
0.0986998039465224,knee
0.0810633183855942,knee
0.0934240033682058,knee
0.0618899562720209,knee
0.0851890563313827,knee
0.0945900810091674,knee
0.0957589886630366,knee
0.111761144240036,knee
0.106374714315019,knee
0.0841072509112365,knee
0.1025842075756,knee
0.105419270664483,knee
0.10025433685673,knee
0.0985353361471868,knee
0.0909488805576866,knee
0.0491084538772191,knee
0.107318200003605,knee
0.0714912241698434,knee
0.0931819616283409,knee
0.0850331275762671,knee
0.104791397213197,knee
0.0629417283261428,knee
0.0946714975638669,knee
0.0924439507414574,knee
0.117591807781329,knee
0.0868072066993667,knee
0.0679093180471552,knee
0.100554422428809,knee
0.113027553290401,knee
0.0259827985810694,knee
0.0314481041287995,knee
0.0410994808009071,knee
0.0517506315909056,knee
0.0584685237432487,knee
0.0851739030040337,knee
0.0493673203327665,knee
0.0587339587777733,knee
0.0127842271577593,knee
0.0264387370734555,knee
0.0153769275009296,knee
0.0392708975242508,knee
0.0537715112884286,knee
0.0807506530361685,knee
0.0123813697494536,knee
0.0522742294578487,knee
0.0389122811440794,knee
0.00912832649566147,knee
0.0721877013201296,knee
0.00955062528279129,knee
0.0331938695106498,knee
0.0696885879410674,knee
0.0442914502499472,knee
0.103906850391224,knee
0.0253811078605031,knee
0.00884703714635047,knee
0.0221355500412028,knee
0.0255353121215291,knee
0.0178236766820153,knee
0.0592655526996819,knee
0.0504450798370082,knee
0.0580605610335614,knee
0.029096190366748,knee
0.0292918178745926,knee
0.0248403265203775,knee
0.184403509729486,knee
0.06879544015004,knee
0.061735939763797,knee
0.0584774005572119,knee
0.0600711203946244,knee
0.0485567439388608,knee
0.0354961130630226,knee
0.0624970616014805,knee
0.0600153504106868,knee
0.0373251794582085,knee
0.0420183726747422,knee
0.0405315869825896,knee
0.0767745691422784,knee
0.108404250324878,knee
0.0352383525627301,knee
0.0363674369687853,knee
0.0169100971611779,knee
0.0233972673106658,knee
0.0357538017281125,knee
0.0189389368048159,knee
0.0453349096018132,knee
0.0715192991933281,knee
0.0484846192717777,knee
0.0114173487746799,knee
0.0167371947140699,knee
0.0193363928705587,knee
0.0213303631216372,knee
0.0261793279117874,knee
0.02963527397463,knee
0.0472558694263848,knee
0.0594379000954969,knee
0.0211921932638964,knee
0.0246132386038514,knee
0.0169924695573195,knee
0.0362730965240696,knee
0.0144231417537051,knee
0.0303154527572138,knee
0.0803258189158605,knee
0.0723159111904372,knee
0.0449846901466951,knee
0.034745353612634,knee
0.0300206267059103,knee
0.0181787997984013,knee
0.0291365000602358,knee
0.0242728377557313,knee
0.0154331270330338,knee
0.0635158212603655,knee
0.043526705710862,knee
0.0336643663609456,knee
0.0496879248263618,knee
0.0611831116019931,knee
0.0758005499292967,knee
0.0584428023693888,knee
0.038302692770979,knee
0.0443798406729424,knee
0.0376799426240033,knee
0.0381988559103131,knee
0.0256537892955449,knee
0.0837744212290165,knee
0.0509201277961792,knee
0.0448219445272224,knee
0.0404890465193163,knee
0.0392221343262848,knee
0.0249327072515454,knee
0.0244535602265344,knee
0.0287980268506109,knee
0.0454103309238288,knee
0.0343981373744663,knee
0.0436429277181057,knee
0.0388808350960417,knee
0.0155650193980064,knee
0.0230966127889076,knee
0.0424667673264686,knee
0.0233085402417706,knee
0.0188134713547472,knee
0.0569066858440733,knee
0.0561925853932599,knee
0.0655046612371874,knee
0.0244811271014888,knee
0.0226930790085659,knee
0.0582230314903013,knee
0.0653729892923999,knee
0.123178560315837,knee
0.069607568593342,knee
0.0551222002455509,knee
0.0280497420342588,knee
0.0803760678121891,knee
0.0642331165521788,knee
0.0305281481898174,knee
0.0732645559556965,knee
0.111673432159984,knee
0.0719760897885533,knee
0.0227970834658211,knee
0.041330439004068,knee
0.0277143514238409,knee
0.10900551324563,knee
0.0674204017471065,knee
0.0968827946853195,knee
0.0748435127944023,knee
0.0850509419114876,knee
0.0703295248823504,knee
0.0458358163652051,knee
0.0484956315894068,knee
0.0649771608895482,knee
0.0608710962667129,knee
0.0428127391974521,knee
0.031837183462842,knee
0.0325856108439663,knee
0.0138807671503685,knee
0.0275356146999369,knee
0.0295661280495742,knee
0.0452590294763876,knee
0.0527815315847029,knee
0.0410036091996582,knee
0.0358191181932853,knee
0.0442252404995226,knee
0.0407895775273517,knee
0.00995275649707334,knee
0.0147775296940402,knee
0.0595069286352404,knee
0.0434539470624744,knee
0.0585515743454935,knee
0.029945428936186,knee
0.0212428298393378,knee
0.0142810377119216,knee
0.01723181249981,knee
0.0359676206629405,knee
0.0494949201984892,knee
0.0525218365885326,knee
0.0461898755658675,knee
0.0395751290949724,knee
0.10578679975137,knee
0.0339791046585919,knee
0.0356696731480082,knee
0.0389103271776132,knee
0.0399703929033158,knee
0.0271353361439135,knee
0.052439108636498,knee
0.0343114081638523,knee
0.0197922196484593,knee
0.0598157412957493,knee
0.0321623653377665,knee
0.0357166672484048,knee
0.0529463938835416,knee
0.0537479196821889,knee
0.0829209712586363,knee
0.0587632474123175,knee
0.0512728055379546,knee
0.0643613134269507,knee
0.0449580846660954,knee
0.065821626355436,knee
0.0454588638078163,knee
0.0906065152891495,knee
0.0541680941251677,knee
0.0658095600317923,knee
0.0671729282901599,knee
0.0725175859112022,knee
0.0794846137488981,knee
0.0765287838160466,knee
0.0580200266241444,knee
0.0510461873904209,knee
0.043432519129292,knee
0.0509087329325143,knee
0.0463181792723095,knee
0.0589236695038276,knee
0.0736847693706613,knee
0.0414676986954248,knee
0.0398801134429446,knee
0.0282141278251269,knee
0.030161964743496,knee
0.0426231628005116,knee
0.0516366550381391,knee
0.0624405727298933,knee
0.0655633357486004,knee
0.0451453172127195,knee
0.0309272870541465,knee
0.0366264240061138,knee
0.067467886743173,knee
0.049644605031092,knee
0.0566732293842532,knee
0.0379393202052186,knee
0.0431078517100419,knee
0.0200361615820184,knee
0.0343528802176478,knee
0.0466108235000029,knee
0.011787778323187,knee
0.0238603107881677,knee
0.0224756371400401,knee
0.0307074211450516,knee
0.0119313751441829,knee
0.0349981624509079,knee
0.05562683073156,knee
0.0455299397332494,knee
0.0540199805662183,knee
0.0378445043105398,knee
0.0226481116028441,knee
0.029170434469768,knee
0.0350709702221605,knee
0.0417940659082534,knee
0.0425909740955005,knee
0.0643428761059262,knee
0.0698733073438397,knee
0.0565397738582526,knee
0.0445800742658372,knee
0.0111422827022981,knee
0.0322180794980961,knee
0.0593949353664909,knee
0.0957876787364214,knee
0.0293360285952639,knee
0.0340848783625071,knee
0.044479441109941,knee
0.0376606296659971,knee
0.053143686723719,knee
0.0313226869695329,knee
0.120030426810831,knee
0.0236402527022711,knee
0.028881871517861,knee
0.0348848256088651,knee
0.026011858336835,knee
0.0270719600671814,knee
0.0638320984999326,knee
0.126360894538805,knee
0.0545181917725422,knee
0.0817807482371953,knee
0.0267068297055983,knee
0.032390415233236,knee
0.016818977854154,knee
0.0558500172324229,knee
0.0280620690632805,knee
0.0184059798033548,knee
0.0343612912695586,knee
0.0136167540582156,knee
0.0238318723537094,knee
0.033061630982799,knee
0.0294923221604404,knee
0.0448532753487247,knee
0.0605021303812745,knee
0.0700910497941604,knee
0.0209907861362745,knee
0.0358087038732956,knee
0.0367803112894285,knee
0.0243562966164979,knee
0.0303716057198851,knee
0.040674822541186,knee
0.0284162548397143,knee
0.0283544322734457,knee
0.0498550293842299,knee
0.0341816192324724,knee
0.0222157437091034,knee
0.0394550609970697,knee
0.0418679366454448,knee
0.0432843097382696,knee
0.0374865927042023,knee
0.0336962493776968,knee
0.029941369553369,knee
0.0271924417137476,knee
0.0169597444158639,knee
0.0277510296588874,knee
0.0394352736461145,knee
0.032397236125285,knee
